epoch,train_loss,val_loss,val_bal_acc,lr
1,1.6842,1.5463,0.3829,3.18e-06
2,1.0209,1.4632,0.416,3.18e-06
3,0.7882,1.2989,0.4492,3.18e-06
4,0.7148,1.1684,0.4558,3.18e-06
5,0.6591,1.1865,0.466,3.18e-06
6,0.621,1.0944,0.4748,3.18e-06
7,0.5817,1.0491,0.4858,3.18e-06
8,0.5432,0.9944,0.4986,3.18e-06
9,0.5561,1.0388,0.5041,3.18e-06
10,0.5139,1.0207,0.521,3.18e-06
11,0.4894,0.9791,0.5291,3.18e-06
12,0.4702,0.9859,0.5351,3.18e-06
13,0.4751,0.9453,0.5501,3.18e-06
14,0.462,0.9492,0.5521,3.18e-06
15,0.4461,0.898,0.5653,3.18e-06
16,0.4496,0.8888,0.5715,3.18e-06
17,0.4483,0.9249,0.5778,3.18e-06
18,0.408,0.921,0.5771,3.18e-06
19,0.3961,0.8921,0.5901,3.18e-06
20,0.4077,0.8919,0.5934,3.18e-06
